NN;lex_rus;lang;class;lex_nd;first_cons;cons_type_old;cons_type;CL_SG;final_cons;fin_cons_type;POST_SG;first_vowel;vowel_type;lex_rus_sem;compound;semantics_KK;semantics_KK_detailed;;;;;
10;kljuv;kryz;3;dindiʁ;d;anterior;anterior;NA;ʁ;fricative.post;0;;;;0;body;golova i sheja;;;;;
10;kljuv;bud;3;dindiʁ;d;anterior;anterior;NA;ʁ;fricative.post;0;;;;0;body;golova i sheja;;;;;
10;kljuv;hin;3;dindiʁ;d;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;and;5;k'ol;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;cham;4;el-mis';NA;NA;NA;NA;;;;e;;|el+jazyk|;1;body;golova i sheja;;;;;
11;rot;chamg;4;el-mic'i;NA;NA;NA;NA;;;;e;;|vneshnjaja ctorona rta (eli) + jazyk|;1;body;golova i sheja;;;;;
11;rot;inh;5;ma1ʟ'u;m;nasal;labial;NA;;;;;;vneshnjaja tchact' = kljuv, guba;0;body;golova i sheja;;;;;
11;rot;inh;4;zɨze;z;anterior;anterior;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;bezht;5;šik'ö;š;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;bezhh;5;sik'o;s;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;gunz;5;šik'u;š;anterior;anterior;NA;;;;;;vneshnjaja tchact';0;body;golova i sheja;;;;;
11;rot;gunz;5;qašu;q;plosive.post;plosive.post;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;tsez;4;hut';h;fricative.post;fricative.post;NA;;;;;;vneshnjaja tchact';0;body;golova i sheja;;;;;
11;rot;tsez;2;haqu || haqa;h;fricative.post;fricative.post;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;gin;3;hut';h;fricative.post;fricative.post;NA;;;;;;vneshnjaja tchact';0;body;golova i sheja;;;;;
11;rot;gin;4;haqu;h;fricative.post;fricative.post;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;lak;3;q'ac';q';plosive.post;plosive.post;NA;;;;;;vneshnjaja tchact';0;body;golova i sheja;;;;;
11;rot;lak;3;zumalu;z;anterior;anterior;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;arch;4;sːob;sː;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;rutl;4;ǧal;ǧ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;tsah;4;ǧaly;ǧ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
11;rot;tsahg;4;ǧaly;ǧ;plosive.post;plosive.post;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;tsahc;4;ǧaly;ǧ;plosive.post;plosive.post;NA;;;;;;vnutrennjaja tchact';0;body;golova i sheja;;;;;
11;rot;kryz;4;siv;sː;anterior;anterior;NA;v;labial;0;;;;0;body;golova i sheja;;;;;
11;rot;bud;4;siv;sː;anterior;anterior;NA;v;labial;0;;;;0;body;golova i sheja;;;;;
11;rot;hin;3;aʁzɨ;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
12;guba;and;5;sim;s;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;cham;5;kočul;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;chamg;5;kučul;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;inh;5;ma1ʟ'u;m;nasal;labial;NA;;;;;;=kljuv, rot;0;body;golova i sheja;;;;;
12;guba;bezht;3;poro;p;labial;labial;NA;;;;;;guby i tchact' litsa vokrug gub;0;body;golova i sheja;;;;;
12;guba;bezhh;3;poro;p;labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;gunz;3;poro;p;labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;tsez;2;ʟ'epu;ʟ';liquid;liquid;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;gin;2;ʟ'epu;ʟ';liquid;liquid;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;lak;4;murčːʷi;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;arch;3;k'ʷet';k'ʷ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;rutl;4;p'ɨz;p';labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;tsah;4;pɨšnyɨ;p;labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;tsahg;4;p'ɨz;p';labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;tsahg;3;bok';b;labial;labial;1;;;;;;guby i tchact' litsa vokrug gub;0;body;golova i sheja;;;;;
12;guba;tsahc;4;pɨšnyɨ || pušnyɨ;p;labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
12;guba;kryz;4;pěk';p;labial;labial;NA;k';plosive.post;0;;;;0;body;golova i sheja;;;;;
12;guba;bud;4;pək';p;labial;labial;NA;k';plosive.post;0;;;;0;body;golova i sheja;;;;;
12;guba;hin;3;t'al;t';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;and;4;žuna;ž;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;cham;5;mizat'ʷ;m;nasal;labial;NA;;;;;;=boroda;0;body;golova i sheja;;;;;
13;podborodok;chamg;3;kučaʟi;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;inh;5;č'eč'en;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;bezht;4;č'ič'inä;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;bezhh;4;c'ic'ina;c';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;gunz;4;kocor;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;tsez;2;č'ič'in;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;gin;4;č'ič'inu;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;lak;3;lultːumak';l;liquid;liquid;NA;;;;;;< lultːu bak' cnizu golova;1;body;golova i sheja;;;;;
13;podborodok;arch;3;ʟ'ir-gʷarči;ʟ';liquid;liquid;NA;;;;;;|vnizu zhelob|;1;body;golova i sheja;;;;;
13;podborodok;rutl;4;q'ac';q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
13;podborodok;tsah;4;q'ac';q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
